file,length_mm,r_shank_mm,r_head_mm,head_len_mm,r_tip_mm,r_shank_top_mm,chamfer_axial_mm
0_10.stp,51.0,3.0,5.000000000000001,6.0,3.000000000000008,3.000000000000008,nan
0_100.stp,72.0,5.999999999999999,9.000000000000002,12.0,6.000000000000011,6.000000000000011,nan
0_101.stp,38.0,3.999999999999999,6.500000000000001,8.0,4.000000000000005,4.000000000000005,nan
0_11.stp,23.0,1.5,2.7500000000000004,3.0,1.5000000000000033,1.5000000000000033,nan
0_12.stp,45.0,2.5,4.250000000000001,5.0,2.500000000000007,2.500000000000007,nan
0_13.stp,24.0,3.999999999999999,6.500000000000001,8.0,4.000000000000003,4.000000000000003,nan
0_14.stp,38.0,1.5,2.7500000000000004,3.0,1.5000000000000062,1.5000000000000062,nan
0_15.stp,26.0,3.999999999999999,6.500000000000001,8.0,4.0000000000000036,4.0000000000000036,nan
0_16.stp,13.0,1.4999999999999998,2.7500000000000004,3.0,1.5000000000000018,1.5000000000000018,nan
0_17.stp,15.0,1.4999999999999996,2.7500000000000004,3.0,1.5000000000000022,1.5000000000000022,nan
0_18.stp,21.0,1.5,2.7500000000000004,3.0,1.5000000000000033,1.5000000000000033,nan
0_19.stp,33.0,1.5,2.7500000000000004,3.0,1.5000000000000053,1.5000000000000053,nan
0_2.stp,3.0,1.3186899010290167,3.1,0.33240783556071296,1.213754506270173,1.4627528157979068,0.6
0_20.stp,12.0,1.9999999999999996,3.5000000000000004,4.0,2.0000000000000013,2.0000000000000013,nan
0_21.stp,29.0,2.0,3.5000000000000004,4.0,2.0000000000000044,2.0000000000000044,nan
0_22.stp,15.0,2.4999999999999996,4.250000000000001,5.0,2.5000000000000018,2.5000000000000018,nan
0_23.stp,19.0,2.4999999999999996,4.250000000000001,5.0,2.5000000000000027,2.5000000000000027,nan
0_24.stp,23.0,2.499999999999999,4.250000000000001,5.0,2.500000000000003,2.5000000000000036,nan
0_25.stp,27.0,2.499999999999999,4.250000000000001,5.0,2.500000000000004,2.5000000000000044,nan
0_26.stp,14.0,2.9999999999999996,5.000000000000001,4.867223840736786,3.0000000000000013,3.0000000000000018,nan
0_27.stp,20.0,2.9999999999999996,5.000000000000001,6.0,3.0000000000000027,3.0000000000000027,nan
0_28.stp,22.0,2.9999999999999996,5.000000000000001,6.0,3.000000000000003,3.000000000000003,nan
0_29.stp,24.0,2.9999999999999996,5.000000000000001,6.0,3.000000000000003,3.0000000000000036,nan
0_3.stp,3.0,1.1368686700792698,2.0545351206051503,0.556812489239162,1.1,1.2044093039286612,0.57679255454417
0_30.stp,28.0,2.9999999999999996,5.000000000000001,6.0,3.000000000000004,3.000000000000004,nan
0_31.stp,66.0,3.0,5.000000000000001,6.0,3.000000000000011,3.0000000000000107,nan
0_32.stp,76.0,3.0,5.000000000000001,6.0,3.000000000000013,3.000000000000013,nan
0_33.stp,43.0,3.999999999999999,6.500000000000001,8.0,4.000000000000006,4.000000000000006,nan
0_34.stp,78.0,3.9999999999999987,6.500000000000001,8.0,4.000000000000012,4.000000000000012,nan
0_35.stp,26.0,4.999999999999999,8.000000000000002,9.095361821944985,5.000000000000003,5.000000000000003,nan
0_36.stp,28.0,4.999999999999999,8.000000000000002,9.437459159845353,5.0000000000000036,5.0000000000000036,nan
0_37.stp,30.0,4.999999999999999,8.000000000000002,10.0,5.000000000000004,5.000000000000004,nan
0_38.stp,35.0,4.999999999999999,8.000000000000002,10.0,5.000000000000004,5.000000000000005,nan
0_39.stp,45.0,4.999999999999999,8.000000000000002,10.0,5.000000000000007,5.000000000000007,nan
0_4.stp,70.0,2.5,4.250000000000001,5.0,2.500000000000012,2.5000000000000115,nan
0_40.stp,50.0,4.999999999999999,8.000000000000002,10.0,5.000000000000007,5.000000000000007,nan
0_41.stp,55.0,4.999999999999999,8.000000000000002,10.0,5.000000000000009,5.000000000000009,nan
0_42.stp,60.0,4.999999999999999,8.000000000000002,10.0,5.00000000000001,5.00000000000001,nan
0_43.stp,80.0,4.999999999999998,8.000000000000002,10.0,5.000000000000012,5.000000000000012,nan
0_44.stp,90.0,4.999999999999998,8.000000000000002,10.0,5.000000000000014,5.000000000000014,nan
0_45.stp,32.0,5.999999999999999,9.000000000000002,11.199823123672012,6.0000000000000036,6.000000000000004,nan
0_46.stp,42.0,5.999999999999999,9.000000000000002,12.0,6.000000000000006,6.000000000000006,nan
0_47.stp,47.0,5.999999999999999,9.000000000000002,12.0,6.000000000000006,6.000000000000006,nan
0_48.stp,52.0,5.999999999999999,9.000000000000002,12.0,6.000000000000008,6.000000000000008,nan
0_49.stp,57.0,5.999999999999999,9.000000000000002,12.0,6.000000000000008,6.000000000000008,nan
0_5.stp,53.0,3.9999999999999987,6.500000000000001,8.0,4.000000000000008,4.000000000000008,nan
0_50.stp,62.0,5.999999999999999,9.000000000000002,12.0,6.000000000000009,6.000000000000009,nan
0_51.stp,82.0,5.999999999999999,9.000000000000002,12.0,6.000000000000013,6.000000000000013,nan
0_52.stp,92.0,5.999999999999999,9.000000000000002,12.0,6.000000000000015,6.000000000000015,nan
0_53.stp,112.0,5.999999999999998,9.000000000000002,12.0,6.000000000000018,6.000000000000018,nan
0_54.stp,34.0,2.999999999999999,5.000000000000001,6.0,3.000000000000005,3.000000000000005,nan
0_55.stp,44.0,2.0,3.5000000000000004,4.0,2.000000000000007,2.000000000000007,nan
0_56.stp,18.0,1.9999999999999996,3.5000000000000004,4.0,2.000000000000002,2.000000000000002,nan
0_57.stp,22.0,2.0,3.5000000000000004,4.0,2.000000000000003,2.0000000000000027,nan
0_58.stp,24.0,2.0,3.5000000000000004,4.0,2.0000000000000036,2.000000000000003,nan
0_59.stp,20.0,2.0,3.5000000000000004,4.0,2.0000000000000027,2.0000000000000027,nan
0_6.stp,48.0,3.999999999999999,6.500000000000001,8.0,4.000000000000007,4.000000000000007,nan
0_60.stp,11.0,1.4999999999999996,2.7500000000000004,3.0,1.5000000000000013,1.5000000000000013,nan
0_61.stp,61.0,3.0,5.000000000000001,6.0,3.0000000000000098,3.0000000000000098,nan
0_62.stp,46.0,2.9999999999999996,5.000000000000001,6.0,3.000000000000007,3.000000000000007,nan
0_63.stp,56.0,3.0,5.000000000000001,6.0,3.000000000000009,3.000000000000009,nan
0_64.stp,26.0,2.9999999999999996,5.000000000000001,6.0,3.0000000000000036,3.0000000000000036,nan
0_65.stp,14.0,1.9999999999999996,3.5000000000000004,4.0,2.0000000000000018,2.0000000000000018,nan
0_66.stp,36.0,2.999999999999999,5.000000000000001,6.0,3.0000000000000058,3.0000000000000058,nan
0_67.stp,41.0,2.9999999999999996,5.000000000000001,6.0,3.000000000000006,3.000000000000006,nan
0_68.stp,31.0,2.9999999999999996,5.000000000000001,6.0,3.0000000000000044,3.0000000000000044,nan
0_69.stp,86.0,3.0,5.000000000000001,6.0,3.0000000000000147,3.0000000000000147,nan
0_7.stp,30.0,2.499999999999999,4.250000000000001,5.0,2.5000000000000044,2.5000000000000044,nan
0_70.stp,70.0,4.999999999999998,8.000000000000002,10.0,5.0000000000000115,5.0000000000000115,nan
0_71.stp,16.0,1.9999999999999996,3.5000000000000004,4.0,2.000000000000002,2.000000000000002,nan
0_72.stp,25.0,2.499999999999999,4.250000000000001,5.0,2.5000000000000036,2.5000000000000036,nan
0_73.stp,21.0,2.4999999999999996,4.250000000000001,5.0,2.5000000000000027,2.5000000000000027,nan
0_74.stp,40.0,2.5,4.250000000000001,5.0,2.500000000000006,2.500000000000006,nan
0_75.stp,28.0,3.999999999999999,6.500000000000001,8.0,4.0000000000000036,4.0000000000000036,nan
0_76.stp,110.0,4.999999999999998,8.000000000000002,10.0,5.000000000000018,5.000000000000018,nan
0_77.stp,150.0,5.0,8.000000000000002,10.0,5.000000000000026,5.000000000000025,nan
0_78.stp,19.0,1.5,2.7500000000000004,3.0,1.5000000000000029,1.5000000000000029,nan
0_79.stp,17.0,2.4999999999999996,4.250000000000001,5.0,2.500000000000002,2.500000000000002,nan
0_8.stp,13.0,2.4999999999999996,4.250000000000001,4.353993314317609,2.5000000000000013,2.5000000000000013,nan
0_80.stp,53.0,1.5,2.7500000000000004,3.0,1.500000000000009,1.5000000000000089,nan
0_81.stp,108.0,4.0,6.500000000000001,8.0,4.000000000000018,4.000000000000018,nan
0_82.stp,106.0,3.0,5.000000000000001,6.0,3.000000000000018,3.000000000000018,nan
0_83.stp,146.0,3.0,5.000000000000001,6.0,3.0000000000000258,3.0000000000000253,nan
0_84.stp,58.0,3.9999999999999987,6.500000000000001,8.0,4.000000000000009,4.000000000000009,nan
0_85.stp,63.0,1.5,2.7500000000000004,3.0,1.5000000000000109,1.5000000000000104,nan
0_86.stp,50.0,2.5,4.250000000000001,5.0,2.500000000000008,2.5000000000000075,nan
0_87.stp,35.0,2.499999999999999,4.250000000000001,5.0,2.5000000000000053,2.5000000000000053,nan
0_88.stp,34.0,2.0,3.5000000000000004,4.0,2.0000000000000053,2.000000000000005,nan
0_89.stp,17.0,1.5,2.7500000000000004,3.0,1.5000000000000024,1.5000000000000024,nan
0_9.stp,33.0,3.999999999999999,6.500000000000001,8.0,4.000000000000004,4.000000000000004,nan
0_90.stp,28.0,1.5,2.7500000000000004,3.0,1.5000000000000042,1.5000000000000042,nan
0_91.stp,68.0,4.0,6.500000000000001,8.0,4.000000000000011,4.000000000000011,nan
0_92.stp,16.0,2.9999999999999996,5.000000000000001,5.356630551702389,3.0000000000000018,3.0000000000000018,nan
0_93.stp,18.0,2.9999999999999996,5.000000000000001,6.0,3.000000000000002,3.000000000000002,nan
0_94.stp,22.0,3.9999999999999996,6.500000000000001,7.359559961158878,4.000000000000003,4.000000000000003,nan
0_95.stp,39.0,2.0,3.5000000000000004,4.0,2.000000000000006,2.0000000000000058,nan
0_96.stp,37.0,5.999999999999999,9.000000000000002,12.0,6.000000000000005,6.000000000000005,nan
0_97.stp,40.0,4.999999999999999,8.000000000000002,10.0,5.000000000000005,5.000000000000006,nan
0_98.stp,8.0,1.4999999999999998,2.7500000000000004,2.351516517778771,1.5000000000000009,1.5000000000000009,nan
0_99.stp,88.0,3.9999999999999982,6.500000000000001,8.0,4.000000000000014,4.000000000000014,nan
